labels,filepaths
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\0\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\0\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\1\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\1\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\2\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\2\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\3\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\3\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\4\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\4\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\5\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\5\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\6\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\6\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\7\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\7\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\8\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\8\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\9\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\9\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\10\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\10\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\11\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\11\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\12\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\12\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\13\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\13\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\14\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\14\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\15\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\15\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\16\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\16\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\17\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\17\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\18\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\18\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\19\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\19\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\20\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\20\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\21\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\21\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\22\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\22\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\23\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\23\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\24\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\24\separation\1.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\25\separation\0.wav
Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler,Acrocephalus arundinaceus_Great Reed Warbler+Acrocephalus scirpaceus_Eurasian Reed Warbler\25\separation\1.wav
